Date,Open,High,Low,Close,Adj Close,Volume
08/19/04,50.05004883,52.08208084,48.02802658,50.22021866,50.22021866,44659000
08/20/04,50.55555725,54.59459305,50.3003006,54.20920944,54.20920944,22834300
08/23/04,55.43043137,56.79679489,54.5795784,54.75475311,54.75475311,18256100
08/24/04,55.67567444,55.85585403,51.83683777,52.48748779,52.48748779,15247300
08/25/04,52.53253174,54.05405426,51.99199295,53.05305481,53.05305481,9188600
08/26/04,52.52752686,54.02902985,52.38238144,54.00901031,54.00901031,7094800
08/27/04,54.10410309,54.36436462,52.89789963,53.12812805,53.12812805,6211700
08/30/04,52.6926918,52.79779816,51.05605698,51.05605698,51.05605698,5196700
08/31/04,51.20120239,51.90690613,51.13113022,51.23623657,51.23623657,4917800
09/01/04,51.40140152,51.53653717,49.88488388,50.17517471,50.17517471,9138200
09/02/04,49.64464569,51.23623657,49.51951981,50.80580521,50.80580521,15118600
09/03/04,50.52552414,50.92092133,49.70970917,50.05505371,50.05505371,5152400
09/07/04,50.55555725,51.05105209,49.85485458,50.84083939,50.84083939,5847500
09/08/04,50.4204216,51.56656647,50.3003006,51.20120239,51.20120239,4985600
09/09/04,51.3163147,51.4064064,50.55055237,51.20620728,51.20620728,4061700
09/10/04,50.85084915,53.33333206,50.70069885,52.71771622,52.71771622,8698800
09/13/04,53.36837006,54.25925827,53.28328323,53.80380249,53.80380249,7844100
09/14/04,53.77877808,56.05605698,53.44844818,55.80080032,55.80080032,10828900
09/15/04,55.33533478,57.17217255,55.15515518,56.05605698,56.05605698,10713000
09/16/04,56.22622681,57.95795822,55.88088226,57.04204178,57.04204178,9266300
09/17/04,57.26726913,58.80380249,56.83183289,58.80380249,58.80380249,9472500
09/20/04,58.533535,60.86086273,58.4434433,59.73973846,59.73973846,10628700
09/21/04,59.96496582,60.2702713,58.81381226,58.9789772,58.9789772,7228700
09/22/04,58.75875854,59.89489365,58.46346283,59.2492485,59.2492485,7581200
09/23/04,59.47948074,61.37637711,58.56856918,60.47047043,60.47047043,8535600
09/24/04,60.53052902,62.11211395,59.93994141,59.97497559,59.97497559,9123400
09/27/04,59.83983994,60.50049973,58.95895767,59.18918991,59.18918991,7066100
09/28/04,60.71071243,63.76376343,60.16516495,63.49349213,63.49349213,16929000
09/29/04,63.413414,67.57757568,63.17817688,65.60560608,65.60560608,30516400
09/30/04,65.01501465,66.21621704,64.56456757,64.86486816,64.86486816,13758000
10/01/04,65.46546173,67.18718719,64.51451111,66.35635376,66.35635376,15124800
10/04/04,67.69269562,68.50350189,67.08208466,67.59759521,67.59759521,13022700
10/05/04,67.3973999,69.33433533,66.18618774,69.2542572,69.2542572,14973200
10/06/04,68.84384155,69.29429626,68.06806946,68.60861206,68.60861206,13381400
10/07/04,68.52852631,70.01000977,68.34334564,69.49449158,69.49449158,14115000
10/08/04,69.4294281,69.90991211,68.57857513,68.93393707,68.93393707,11069500
10/11/04,68.56856537,69.49949646,66.99198914,67.6977005,67.6977005,10472100
10/12/04,67.28728485,68.87387085,66.76676941,68.76876831,68.76876831,11665500
10/13/04,71.73173523,71.84684753,70.11010742,70.52052307,70.52052307,19766200
10/14/04,70.57557678,71.26126099,69.34934998,71.07106781,71.07106781,10442100
10/15/04,72.53753662,72.82282257,71.0460434,72.1271286,72.1271286,13194700
10/18/04,71.67166901,74.67467499,70.67567444,74.65465546,74.65465546,14036300
10/19/04,75.32532501,76.27627563,73.74874878,74.04404449,74.04404449,18109800
10/20/04,74.08908844,74.56957245,69.86987305,70.31531525,70.31531525,22722600
10/21/04,72.2722702,75.14013672,70.88088226,74.76476288,74.76476288,29149800
10/22/04,85.35535431,90.17517853,82.12212372,86.30130005,86.30130005,73710000
10/25/04,88.28829193,97.31230927,86.36135864,93.79379272,93.79379272,65462800
10/26/04,93.26325989,96.41641998,90.09008789,90.99098969,90.99098969,44569500
10/27/04,91.45145416,94.8548584,90.97597504,93.07807922,93.07807922,26686200
10/28/04,93.43343353,97.29228973,92.89289093,96.74674988,96.74674988,29663900
10/29/04,99.54454803,100.0750732,95.39539337,95.4154129,95.4154129,42282600
11/01/04,96.87187195,98.93393707,95.73072815,98.1131134,98.1131134,24425300
